51300026288,abf,47,163
51300039257,fdb,224,80
51300074385,bdg,73,136
51300074569,fed,187,197
51300105557,cce,116,155
51300164854,add,87,37
51300176870,dfe,180,9
51300223134,dgg,193,76
51300310243,bcf,75,44
51300404231,bdg,183,127
51300441646,cce,51,127
51300450914,efa,192,128
51300455312,fdd,274,169
51300504908,dfb,63,98
51300557747,ccg,185,121
51300563029,cde,97,181
51300627585,cfc,106,17
51300639104,dde,63,134
51300667917,bbg,260,47
51300674241,cgf,52,130
51300695952,bef,130,282
51300711819,egg,232,213
51300738769,bgb,66,57
51300750077,eda,161,243
51300815934,bef,86,327
51300823205,gea,277,76
51300842804,adf,213,222
51300844891,cag,150,50
51300919463,geb,281,38
51300939582,fcc,200,63
51300943743,faf,56,205
51300963305,gef,99,121
51300966299,ece,46,73
51300984974,eae,16,293
51301005912,fda,181,266
51301014524,dcf,194,192
51301022670,gca,152,69
51301037991,bgb,22,58
51301046821,fde,75,85
51301063091,ecd,63,204
51301065145,abf,132,130
51301090262,cfa,244,253
51301096678,bfe,150,122
51301126774,bgf,96,18
51301157183,acd,239,32
51301162967,feg,152,81
51301174893,ebe,211,43
51301186769,cae,99,271
51301216953,cfa,187,232
51301231518,cef,113,251
51301236088,fcb,259,115
51301250492,fgg,171,120
51301263861,bdd,58,79
51301265331,fad,27,148
51301292987,ggd,63,149
51301299772,gad,198,211
51301323312,bec,64,223
51301364035,fag,243,146
51301365301,abb,214,34
51301370655,cbe,53,26
51301375363,bca,65,34
51301432727,aeb,117,80
51301494518,cfa,139,234
51301507754,bgc,268,220
51301542528,cdc,60,180
51301609213,cac,28,89
51301622242,gga,239,291
51301622655,baf,190,165
51301661864,dge,84,83
51301715365,dee,163,173
51301752973,aab,266,158
51301756634,acg,226,209
51301889317,ggd,60,156
51301937610,gfe,93,89
51301951324,ccd,202,136
51301963221,baa,15,13
51301971010,fba,99,247
51302020553,eba,168,18
51302041943,bdd,72,89
51302070053,fda,210,268
51302087634,ebe,27,48
51302093932,def,275,291
51302149431,egb,207,38
51302176318,bdg,179,104
51302177463,acd,84,34
51302193319,deb,70,255
51302204082,cac,21,91
51302218297,dcb,192,30
51302237391,afc,91,58
51302246287,caf,38,222
51302267817,aac,264,142
51302276887,ecc,119,151
51302314723,fbe,100,244
51302320304,dbe,255,264
51302342167,dfb,23,104
51302371240,fec,119,179
51302389976,fbd,26,264
51302408096,eeb,269,11
51302514426,ddb,259,55
51302529018,bgd,224,112
51302566405,bed,36,72
51302583046,ecd,187,167
51302604402,bbd,258,260
51302644017,acf,126,16
51302657007,cad,78,236
51302672160,cfg,267,112
51302685089,bcc,27,51
51302736555,ffe,56,241
51302769186,geb,277,33
51302779711,dgb,259,268
51302854067,feg,122,92
51302858718,dff,96,14
51302873772,cda,137,127
51302909884,fgb,135,236
51302926285,aad,117,125
51302926371,egf,216,106
51302934432,gca,202,77
51302968240,cbe,235,27
51302996588,ebb,224,256
51303003135,fea,283,212
51303032498,bgd,77,105
51303032874,abd,282,120
51303042194,bfc,90,73
51303061824,ebg,225,217
51303067998,eef,26,116
51303129023,ffb,62,258
51303148756,dde,37,136
51303149202,gea,69,84
51303154578,adf,244,235
51303157481,dcg,13,257
51303177571,fbb,56,253
51303180038,bgc,7,252
51303183975,agf,287,191
51303186974,ada,6,296
51303188555,fee,205,248
51303199389,bag,169,104
51303208305,ebc,259,257
51303224691,fdg,35,232
51303257842,bcd,2,153
51303262336,dcc,144,147
51303320309,gdd,63,102
51303323843,gfa,11,6
51303363554,bca,144,40
51303371688,gcd,35,113
51303376175,ccg,167,113
51303407218,gaa,16,105
51303413266,fda,223,268
51303417862,dgd,279,296
51303424166,cbe,234,30
51303448376,eag,164,15
51303469037,edc,106,5
51303480797,fgd,154,65
51303510456,fgg,200,111
51303517843,acg,33,242
51303536421,cdd,49,190
51303556377,gad,200,208
51303580428,ebe,142,49
51303590311,dbg,65,283
51303605009,ged,163,162
51303646833,cga,69,109
51303651285,abb,5,27
51303675689,ade,128,92
51303682549,gda,123,167
51303688286,egc,297,125
51303704910,aca,145,161
51303819719,dce,273,196
51303831461,cda,37,119
51303848840,cce,92,125
51303890612,dfd,70,166
51303966552,aae,295,102
51303978633,dca,85,117
51303989697,acb,234,120
51304016494,dae,146,224
51304021910,fbf,42,195
51304034446,cba,140,96
51304037870,bca,198,33
51304039042,gae,136,298
51304053078,gee,200,221
51304056053,ccc,93,266
51304071044,bae,246,64
51304085744,ecc,278,169
51304092911,faf,159,235
51304107259,bgb,151,55
51304159329,ffg,31,181
51304163825,gce,8,110
51304254293,gbg,177,25
